order	cross_entropy	input_file	architecture	number_of_states	threads	fit	params_json	train_opt_json	no_mean	log_file	time	memory
36	2.8765771442413497	gaussian.npy	escape_chain	42	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	8.84	168216
37	2.902242855468607	gaussian.npy	escape_chain	44	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	10.87	167844
38	2.9008191390290023	gaussian.npy	escape_chain	46	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	11.62	167804
39	2.9009438800130662	gaussian.npy	escape_chain	48	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	11.08	168340
40	2.899468927479711	gaussian.npy	escape_chain	50	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	13.38	167928
41	3.986292262421303	gaussian.npy	combined	2	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.90	168116
42	3.4068331408779438	gaussian.npy	combined	4	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.17	168224
43	3.206584675146448	gaussian.npy	combined	6	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	4.25	167896
44	3.079231077929008	gaussian.npy	combined	8	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	5.10	168024
45	2.984941891457733	gaussian.npy	combined	10	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	6.42	168116
46	2.98909124608706	gaussian.npy	combined	12	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	9.26	167832
47	2.9825766434672083	gaussian.npy	combined	14	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	8.26	168288
48	2.9715745160855036	gaussian.npy	combined	16	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	7.84	168324
49	2.956715590462089	gaussian.npy	combined	18	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	8.35	167600
50	2.938407606084896	gaussian.npy	combined	20	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	11.09	168684
51	2.9546922835936784	gaussian.npy	combined	22	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	10.58	168268
52	2.9472902761934936	gaussian.npy	combined	24	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	11.81	168080
53	2.968793971718532	gaussian.npy	combined	26	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	16.81	168204
54	2.9481901987822368	gaussian.npy	combined	28	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	15.38	167904
55	2.9563342389475213	gaussian.npy	combined	30	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	20.76	168636
56	2.9539630609510685	gaussian.npy	combined	32	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	23.83	167988
57	2.9710023832201333	gaussian.npy	combined	34	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	26.24	168364
58	2.9314527054086947	gaussian.npy	combined	36	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	25.48	168280
59	2.9108788986361605	gaussian.npy	combined	38	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	30.56	168260
60	2.9484465964134707	gaussian.npy	combined	40	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	40.31	168416
61	2.886357477491296	gaussian.npy	combined	42	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	30.41	168176
62	2.9325058564252213	gaussian.npy	combined	44	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	42.10	167484
63	4.295298055582959	bimodal.npy	chain	2	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.60	168620
64	3.9522574264798314	bimodal.npy	chain	4	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.43	168336
65	3.9122847263781764	bimodal.npy	chain	6	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.14	167992
66	3.907593960553576	bimodal.npy	chain	8	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.57	168440
67	4.015971585792724	bimodal.npy	chain	10	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.64	168508
